,speaker,text,code
129815,B,Uh-huh.,b
129816,A,"And, so, the whole page you, you never can actually see it,",sd
129817,B,Oh.,b
129818,A,you just draw it,sd
129819,A,and they have to zoom out and zoom in,sd
129820,A,"and, you know, it's like, every time that you have to do something is, it's really a pain.",sd
129821,B,"What a hassle,",ba
129822,B,"yeah,",b
129823,B,yeah.,b
129824,A,"And, also, you know, it's like for, for presentations,",sd
129825,A,"it's like if you have to do any statistical data it can be easily represented on a, on a P C.",sd
129826,B,Uh-huh.,b
129827,A,"it can be easily represented on a, on a P C.",sd
129828,A,"You know, like years back when you didn't have that you would have to map out all this, all these numbers.",sd
129829,B,Yeah.,b
129830,A,"and get a graph which you weren't sure if it was okay or not, you know.",sd
129831,B,Right.,b
129832,B,Yeah.,b
129833,A,"But, with a, with a new system I can calculate everything so fast, you know, like for spread sheets.",sd
129834,B,Uh-huh.,b
129835,B,Right.,b
129836,B,Right.,b
129837,A,You can see what the trend is over the years.,sv
129838,B,Yeah.,b
129839,B,"And, I love all the windows that they have out now too,",sd
129840,A,"Yeah,",b
129841,A,"that, that",%
129842,B,they have really simplified things.,sv
129843,A,"I, I had a, I had a program due",sd
129844,A,"and uh, one, one window I had the program",sd
129845,A,"and the other one I had the program running. so if there was ever a mistake, I could easily check, you know,",sd
129846,B,Right.,b
129847,B,Right.,b
129848,A,"I could look at the program and say, this is where I made the error.",sd
129849,B,Right.,b
129850,A,"Instead of saying, where did I make the error?",sd
129851,B,Uh-huh.,b
129852,A,"You know, go back and forth",sd
129853,A,"and, and, you know, you always, you know,",sd
129854,A,"the old ones you had to go out of your program, load up, um, uh, well load up the program again, in this case.",sd
129855,B,Uh-huh.,b
129856,A,"After you load it up change it, hope that's right, get out of that, run the program, run, uh-huh, as long as it took, and then go back and see if that worked or not.",sd
129857,B,Yes.,b
129858,B,Yes.,b
129859,B,Yeah.,b
129860,A,But with windows you can have the program,sd
129861,A,and say it messed up in line fifty-four.,sd
129862,B,Yeah.,b
129863,A,"So, you take a look at line fifty-four,",sd
129864,A,"you take a look at the output at the same time,",sd
129865,A,"and you can see that, where it messed up, because, you know it's like in the old computers, the ones that, uh, we're using here a couple of years ago, you would always have to have a printout,",sd
129866,B,Uh-huh.,b
129867,B,Yeah.,b
129868,B,"Yeah,",aa
129869,B,"right,",aa
129870,B,right.,aa
129871,B,"Yeah,",%
129872,B,"I know, I, uh, I remember my college days And having to do that too.",sd
129873,A,"did, did you learn it in computer science?",qy
129874,B,"Oh, yeah,",ny
129875,B,uh-huh.,ny
129876,B,I sure did.,sd
129877,A,"And, when was this.",qw
129878,B,"Uh, I graduated in eighty-six.",sd
129879,A,"Oh, okay.",bk
129880,B,Yeah.,b
129881,B,So it's been fairly recent.,sd
129882,A,"Yeah,",b
129883,A,"I know because, uh, all I know is that when I came here in eighty-seven, they still had, uh, it was the last year to, to put all your punch cards in.",sd
129884,B,The cards.,^2
129885,B,"Oh, oh dear.",ba
129886,B,"I didn't have to bother with that at all, thank goodness.",sd
129887,B,Yeah.,%
129888,A,"So, yeah.",b
129889,A,"No,","fo_o_fw_""_by_bc"
129890,A,"but it, it was just sensational because I walked in",sd
129891,A,"and they go, Oh, my God, they're still using this.",sd
129892,B,Yes.,b
129893,A,"It was like, this is the last year you can put your punch cards in and get your program out",sd
129894,A,"and, you know You can get a hard copy of it,",sd
129895,B,"Wow,",ba
129896,B,wow.,ba
129897,A,and that's about it.,sd
129898,B,"Uh-huh,",b
129899,B,wow.,ba
129900,A,"So. But, I mean, the price of computers has gone down.",sd
129901,A,"They said that, um, if the auto industry would have kept the same trend as the computer industry has ever since, you know, it started, they said that, uh, cars would cost two dollars",sd
129902,B,Uh-huh.,b
129903,A,and they would run forever.,sd
129904,B,"Oh, that would be great.",sv
129905,A,"So, I mean it's like, you know, the, the joke with the Yugo, you know,",sd
129906,A,"it's like, yeah, you know, like when your, uh, car runs out of gas just throw it away.",sd
129907,B,Uh-huh.,b
129908,A,"And, that, that's the way it would be.",sv
129909,B,Wow.,ba
129910,A,"It's like yeah, I think I'll buy a new car today, you know,",sd
129911,A,"so,",%
129912,A,"Yeah,",b
129913,A,but I mean the price has really gone down.,sd
129914,A,"I mean, I B M which, uh,",sd
129915,A,"an I B M P C in like in nineteen eighty-one it would cost you five thousand dollars,",sd
129916,B,"Oh, sure,",aa
129917,B,"oh, sure.",aa
129918,A,"and now you can get it, you know, like for, one thousand dollars, because, you know, because of the parts basically.",sd
129919,B,Right.,aa
129920,B,"Yeah,",aa
129921,B,"and the two eighty-six too,",sd
129922,B,"so, yeah.",%
129923,A,Yeah.,aa
129924,A,"The parts and the labor is what they're charging you,",sd
129925,A,"they're not charging you, you know, over pricing, it because it's like, if we sell it for less, you know, it's like we're losing money, you know.",sd
129926,B,Uh-huh.,b
129927,B,Right.,b
129928,A,It's like we want to sell it to break even at least.,sd
129929,B,Uh-huh.,b
129930,A,"And, I think they stopped producing the I B M P C.",sd
129931,B,Uh-huh.,b
129932,A,"And, uh, and the, uh, P C Junior was a total failure, to them.",sd
129933,B,Oh.,b
129934,B,Yeah.,b
129935,A,"They had, uh,",sd
129936,A,"they're trying to get out small computers,",sd
129937,A,"but, the only problem was that when they took that one out, the small computer was the I B M P C",sd
129938,A,"And, so, you couldn't, you know,",sd
129939,A,"it's like, sure bring out. into the market something that's smaller when nobody uses anything that's smaller than, you know, this, you know.",sd
129940,B,Yeah.,b
129941,A,"And, so.",%
129942,B,Oh. Uh-huh.,b
129943,A,"But, over the past years it's like I B M has been producing like",sd
129944,A,"every two years they bring out a whole new system. You know, like the P C X T, A T, and the P S one, P S two things, you know,",sd
129945,A,and so. It's just that you have to always compete,sv
129946,A,"and, uh, Mackintosh took a lot of the market from a lot of schools.",sd
129947,B,Yeah.,b
129948,A,"Because of, of their, you know,",sd
129949,A,you can work with it a lot easier.,sv
129950,B,Yeah.,aa
129951,B,That's true.,aa
129952,A,"So, that's what they're trying to do.",sd
129953,A,"Oh, well, I'll leave you back to your work.",ad
129954,B,Well.,%
129955,B,Okay.,aa
129956,A,"And, uh, have a good lunch.",sv
129957,B,Thanks.,ft
129958,B,Bye.,fc
129959,A,"All right,",fc
129960,A,"bye, bye.",fc
129961,A,All right.,"fo_o_fw_""_by_bc"
129962,A,"Now, we used to be big time campers",sd
129963,A,but now we're not quite so much since the kids are involved so much in sports.,sd
129964,B,Uh-huh.,b
129965,B,What type of camping did you do?,qw
129966,A,"Well when we, before we had kids, we was in a motorcycle group, you know,",sd
129967,B,Uh-huh.,b
129968,A,we went like twenty or thirty at a time.,sd
129969,A,"We took, uh, just our little tents,",sd
129970,B,Uh-huh.,b
129971,A,and we did it that way.,sd
129972,A,"Then when we started having children we bought a camper. You know,",sd
129973,B,"Oh, uh-huh.",b
129974,A,and we did it that way.,sd
129975,B,"Oh, how neat.",ba
129976,A,"So, we've always enjoyed camping.",sd
129977,B,Uh-huh.,b
129978,B,"Well, I know I have, um, I just have a tent,",sd
129979,B,and the kids and I like to go out and camp in the tent.,sd
129980,A,Uh-huh.,b
129981,B,And then I bought a van,sd
129982,B,and that way I can sleep in the van and be more comfortable,sd
129983,A,yes.,b
129984,A,"Now we have friends with a van,",sd
129985,B,Uh-huh.,b
129986,A,"and when they go on vacation a lot of times they'll just sleep in the van, you know.",sd
129987,B,Right.,b
129988,B,Yeah.,b
129989,A,Like one night,sd
129990,A,"and the next night they'll stay at the motel, you know, or something like that.",sd
129991,B,Uh-huh.,b
129992,A,And they enjoy it.,sd
129993,B,"Yes,",b
129994,B,"I don't, I don't think I'm a real true, trooper, you know, when it comes, to camping.",sd
129995,A,"Oh,",b
129996,A,yeah.,b
129997,A,"Oh, me either.",sd
129998,B,All the bugs and stuff,sd
129999,B,"But I, I try",sd
130000,A,I hate to be on all that stuff,sd
130001,B,"But, but I try, you know, to, uh, to get out there and enjoy everything.",sd
130002,A,"Oh, yeah.",ba
130003,B,But what was so fun though is that I had to take my son to the doctor this morning because he went out camping with some friends,sd
130004,B,"and he got poison ivy,",sd
130005,A,Oh.,b
130006,B,and it's all over him.,sd
130007,B,"The poor thing, you know,","fo_o_fw_""_by_bc"
130008,B,"so, there's definitely hazards to going camping if you don't know what you're looking at",sv
130009,A,"Yes,",aa
130010,A,yes.,aa
130011,B,"Oh, shoot.",ba
130012,A,Oh.,b
130013,A,"But now, I enjoy it every once in a while,",sd
130014,A,"I mean, it's not something I'd want to do real often.",sd
130015,B,Uh-huh.,b
130016,A,I'm a sissy.,sd
130017,B,Yeah.,b
130018,A,I either want to do it in the fall or spring.,sd
